Date,Shift,Start_Time,Product_ID,Product_Name,Flavor,Bag_Size_g,Planned_Production_Units,Actual_Production_Units,Units_Per_Minute,Total_Time_Run_Minutes,Raw_Material_Used_kg,Waste_Weight_kg,Packaging_Waste_Units,QC_Defects_Count,Downtime_Minutes,Downtime_Reason,Machine_Operator_ID,Supervisor_ID,Clean_Time_Minutes
2025-12-21,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,14012,12861,69.7,473,2027.1,97.9,608,22,80,Material Shortage,OP101,SUP01,10
2025-12-07,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,10434,9859,69.3,479,3079.4,121.7,275,114,80,QC Hold,OP113,SUP01,15
2025-12-23,Afternoon,14:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,12547,11508,70.3,326,1759.9,33.7,149,91,113,QC Hold,OP110,SUP05,7
2025-12-24,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,50,16201,14683,60.9,460,767.0,32.9,420,147,29,Changeover,OP101,SUP04,23
2025-12-03,Morning,06:00:00,ONION-L,Creamy Onion Chips,Sour Onion,50,16227,14965,67.7,393,765.3,17.0,413,53,90,QC Hold,OP112,SUP02,43
2025-12-21,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,12677,11878,60.4,463,1245.0,57.2,274,83,112,Changeover,OP104,SUP01,25
2025-12-13,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,100,24960,24346,72.5,380,2495.9,61.3,561,101,118,Material Shortage,OP103,SUP05,13
2025-12-08,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,14304,13728,63.6,449,4258.8,140.4,274,35,70,Material Shortage,OP102,SUP01,12
2025-12-05,Night,22:00:00,LIME-S,Lime Zest Chips,Tangy Lime,200,19771,17894,62.6,419,3723.3,144.5,616,2,92,Changeover,OP111,SUP05,26
2025-12-04,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,100,17433,15694,69.4,367,1667.3,97.9,232,129,18,QC Hold,OP114,SUP04,14
2025-12-12,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,10009,9487,64.8,328,3017.5,171.4,364,61,12,Equipment Failure,OP115,SUP02,10
2025-12-24,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,50,22461,21172,57.5,468,1098.6,40.0,612,42,38,Cleaning,OP114,SUP07,18
2025-12-30,Night,22:00:00,ONION-L,Creamy Onion Chips,Sour Onion,100,21680,20052,74.9,466,2071.1,65.9,579,115,20,Equipment Failure,OP104,SUP02,26
2025-12-01,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,19641,18022,56.4,461,1834.6,32.4,119,8,115,QC Hold,OP102,SUP04,22
2025-12-22,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,300,12167,11654,72.6,447,3627.8,131.6,534,104,29,Changeover,OP102,SUP07,27
2025-12-14,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,50,21032,20028,67.9,315,1035.7,34.3,397,27,36,Equipment Failure,OP104,SUP08,13
2025-12-14,Morning,06:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,200,14092,13668,56.5,440,2787.7,54.1,717,138,112,Changeover,OP102,SUP04,15
2025-12-14,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,100,24166,22524,56.2,397,2286.9,34.5,449,67,105,Material Shortage,OP105,SUP07,40
2025-12-22,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,100,13111,12111,74.4,448,1272.3,61.2,112,80,12,Changeover,OP110,SUP08,37
2025-12-30,Night,22:00:00,LIME-S,Lime Zest Chips,Tangy Lime,50,18320,16605,58.7,452,845.5,15.2,290,103,20,Cleaning,OP104,SUP01,44
2025-12-03,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,19260,18139,73.7,352,5698.9,257.2,371,61,38,Material Shortage,OP103,SUP05,34
2025-12-11,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,200,20177,19770,74.9,318,4115.3,161.3,568,67,21,QC Hold,OP115,SUP02,20
2025-12-12,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,200,23660,22322,61.1,467,4644.6,180.2,733,141,43,Changeover,OP115,SUP03,21
2025-12-04,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,12546,11564,67.1,387,3555.1,85.9,699,67,69,Material Shortage,OP105,SUP01,10
